species,weights,aic
Mniotilta_varia,"[0.639584432167222, 0.032434405689291804, 0.09496767245015203, -0.06075299281726129, 0.039673612998404495, 0.040490508009520844, 0.0992083419522452, -0.06215456171333425, -0.023634039031035246, 0.07871452514333219]",8715.34548473571
Gallinago_delicata,"[1.1779706658693434, -0.0004679136943321095, -0.02509301028264609, -0.050259401625381506, -0.001463469437030327, -0.017048343150683654, -0.19087453953520575, 0.07249057019923134, -0.017917556607558647, 0.15738674151786325]",17540.010907580694,2.86534342655413,6.10429152315453
Paroaria_capitata,"[1.2276848107822638, -0.08933230405795548, -0.10150249567118669, 0.08271028115350529, -0.010501678217216483, -0.016255372490927022, -0.16478863821029444, 0.14666637516372466, 0.021933103164676903, -0.08903707659531686]",12988.450950099666,2.283403620261973,3.427687410027899
Leiothrix_lutea,"[1.3785049256118236, 0.04689364318963871, -0.44906845412749263, 0.045602805705325836, -0.033856694316228335, 0.05893837663920375, -0.039709403601582254, -0.05644188292837879, -0.02557049026214193, -0.123239718724726]",16501.86226682911,3.1957870861756468,5.453417518925855
Contopus_sordidulus,"[0.8363004494843531, -0.022126078542698276, -0.1022408262052174, 0.00837234987032208, -0.012599057972687216, -0.03020027527318775, 0.18029689140535649, -0.21426649255199087, -0.053194241438639725, -0.09290869127354631]",10254.431109320773,1.4849623261456302,2.5672687139788035
Mareca_americana,"[3.437077419474782, -0.055301849032080665, -0.3923943234287619, 0.1691376981595294, 0.04560756735255071, -0.08707768536179483, -0.8436811369936907, 0.43795187536762914, 0.04255983051825972, 0.10850670655147962]",327445.949096958,49.45177753081134,192.70894867410036
Certhia_americana,"[0.4277070572408809, 0.04298837254557761, -0.06553140421828116, 0.04141700605380907, -0.010787178089921958, 0.030338655791676307, 0.04523928790825875, -0.022725527177890455, 0.007000167677882255, 0.00857524620873707]",7110.171940178507,0.743329514765119,1.2085127904289448
Empidonax_flaviventris,"[0.2463668591173579, 0.03488079076505815, 0.0021108424973848416, -0.004678722246478223, -0.016096797907531053, 0.006179945178372082, 0.2528732850117045, -0.21037566316978185, 0.01560260858321529, -0.06310701695663025]",6186.4390387448,0.4666916201185041,0.833833250543154
Passerina_versicolor,"[0.6020087326492845, -0.09011146223575575, -0.1412296488252968, 0.10369098602523878, -0.0009031959144554756, -0.0020156669334370353, 0.0696134287825672, -0.0669120389256509, 0.04380974434983484, -0.015806624129751812]",7897.821376112119,0.9409223639112688,1.4258897290202337
Spizella_pusilla,"[1.0124707435671056, -0.06938455463448318, -0.0515606079662209, 0.03315715137572939, -0.021163209335299398, -0.03454861055122612, -0.060187067389831345, 0.0002751993366665491, -0.020097616204718463, 0.03879714264005187]",11619.108953694638,1.8795175204340733,2.9305745632184927
Corvus_ossifragus,"[1.5947907812400328, -0.10873461630659106, 0.20004389690158558, 0.1966040492331007, -0.08288051054094714, -0.009709277822600155, -0.9339418736858287, 0.3935971596087246, -0.05545998480431309, 0.03603314556247045]",42104.48348825001,6.430744324290478,23.58134123002085
Junco_phaeonotus,"[1.4592935535426643, -0.08529314905122518, 0.10222949287705083, 0.17466791230490664, -0.05946809581266614, 0.020472624740467453, -0.18968969620543774, 0.052252150908069415, 0.023769849654687633, 0.08731722364245335]",16542.37052446168,3.122666534056561,5.055261432321697
Troglodytes_aedon,"[0.7680542362005047, -0.018234800719546473, -0.07665575872910277, -0.008209314004708153, -0.007298784443119308, 0.05853732265310378, 0.2051766911760518, -0.17853555235231597, 0.03969383080352081, -0.12141263536714525]",9978.940316181583,1.3822700830163186,2.6129336797591574
Bucephala_albeola,"[2.423209832770549, -0.014637925692689631, -0.07280915732971964, 0.0670440583520589, -0.0117196167570827, -0.03274820036301099, -0.2026241374193256, 0.1246325984399923, 0.00159248414569132, 0.13892766498490094]",55231.270584979626,10.898733620287647,23.064720634606697
Aratinga_acuticaudata,"[1.7067826639285386, -0.10239565439452854, -0.11046890072993619, 0.1709148866211214, -0.04318699351013566, 0.0459586504171673, -0.47944361819262327, 0.30635118635999203, -0.021577004286855807, -0.0671839752386468]",15286.810486131804,3.721978411483484,6.074775789524747
Podiceps_auritus,"[1.6462557170032168, -0.1988943638191115, 0.025778363416889424, -0.07285696258435231, 0.1352641594346144, -0.3403754291972507, -0.20771828940907966, 0.23584665607636268, 0.2660611536130365, -0.014482944271059076]",40808.47990987484,6.175644690555878,23.717347508647865
Myadestes_townsendi,"[0.6641761678385494, 0.07913552193366447, -0.07789807954991673, 0.08144067654711835, -0.022670666864671805, -0.030179926462925822, -0.2667176556261858, 0.13132381312550187, -0.05047888425892208, -0.13449321478363363]",9324.018568253723,1.2339370858828589,2.235459183592713
Loxia_curvirostra,"[1.8843485881202486, 0.06392773581502607, -0.029887935383100448, 0.08381869406344161, 0.0269742489284615, 0.0921448450176289, -0.4219528250796302, 0.2372048181706644, 0.07437835585056782, 0.03181697356838955]",28844.597348090378,5.891116505625825,10.365434922691696
Podiceps_nigricollis,"[1.4615411712416069, 0.1852456946294534, -0.08565182608656134, -0.7630820462210142, -1.9220086925444186, -1.447606443870194, 1.8012797424745577, -2.862362871053301, -1.829405594288778, -0.30247610462098956]",1471700.7927513747,176.76084764365032,2178.2139892670107
Gymnogyps_californianus,"[1.2237840912172766, 0.05729131302617432, 0.4799341791155498, -0.1951178908207653, -0.0344062892538317, 0.005597929868373479, -0.011616283644150308, -0.09606381978323525, -0.2164259280283119, 0.594203135367489]",13152.3149083303,2.3654970479176236,3.4616536871602657
Oceanites_oceanicus,"[3.0558383856660933, -0.27758697082385225, 1.6556784156537177, 0.20833335367091022, 0.08108486606856159, 0.07911593772670826, 0.12897923945786158, -0.18594202711933278, 0.008344060774310103, 0.43660055875059084]",194729.08640964597,36.96009811424177,117.8639920089602
Buteogallus_anthracinus,"[0.34976226244282543, -0.27744691060825866, -0.23033489330396129, -0.14220258278055636, -0.003972543396248693, -0.024111600498411788, -0.019054776838070782, 0.04896778151643238, -0.04787929267410125, 0.04304870771717535]",7215.341745869851,0.6971459831477923,1.6980179474072872
Onychoprion_fuscatus,"[0.7429118887558797, -6.3662231950031405, 2.708703736727039, 0.08395300784908799, -1.5698623529249363, 1.0593676817252156, 1.2348287840960215, -1.2291142748619546, 0.04093705748353287, 2.2472383806429246]",3284770.9309733612,557.8427971539918,3396.9433358612005
Porzana_carolina,"[0.6191287794839245, -0.07946374647664933, 0.015063809468490143, 0.01016603327606188, -0.030013091931329373, -0.05788794757412509, -0.023383139084015986, 0.04560312193041684, 0.04524453019765152, 0.01613321010007137]",9315.025879337467,1.1460651483526076,2.6406890477731464
Camptostoma_imberbe,"[0.29974152336936943, -0.09023901052456813, 0.02479473939227129, -0.03980018953815648, -5.226104892711112e-05, 0.00849154494335253, 0.23508080062808467, -0.13640938014147752, 0.024876906083590535, -0.07205890060831935]",6312.418864319427,0.5244187025246579,0.8400255571957381
Sterna_hirundo,"[3.069378422687617, 0.42198075405825697, 0.4336557358903147, 0.0030374053142932507, 0.0884768525066654, 0.1897645966412429, 0.233412027125888, -0.17532245848531353, 0.04080114942986904, 0.385787285065123]",237492.17857345252,37.74664246916959,107.79802911337795
Setophaga_petechia,"[1.175354690813926, -0.005481353823225586, 0.01856140506582624, -0.05209235889459379, 0.013784151621392992, -0.011020368759802411, 0.3104441014730134, -0.2756316934990433, -0.04236616539760696, 0.027601949312945757]",15138.889901397475,2.4988558380581787,4.830558430819842
Acanthis_hornemanni,"[0.47804086347319064, -0.02115614070630005, -0.4032826640043118, 0.005389062336437055, -0.0324814548035077, -0.004738657166401608, 0.15976455312201504, -0.13471516707442815, -0.00927433707010553, 0.023894312274834375]",8523.913011821693,0.905504111754697,3.4453797479882184
Setophaga_virens,"[0.7495550476152985, 0.02330851219594228, 0.015781571901151054, 0.010012442473488405, 0.015827099381340512, -0.04679062547658922, 0.19246521204978542, -0.12369686239147078, 0.05209831242745912, -0.08114440354113961]",9780.205683532338,1.351300802839091,2.3959363442075112
Pluvialis_squatarola,"[2.5767853036410733, 0.19290858409200762, -0.3178129517588799, 0.11259489650021265, -0.1140237957139288, -0.047814628526016534, -0.17330251559303578, -0.007186806974568379, -0.09087298449773865, 0.14765058882413198]",90536.66174641877,16.548183505084673,37.33650438967644
Centronyx_henslowii,"[0.9409974932023801, -0.1308299634911359, 0.04055948884562266, -0.018031246217626418, 0.029082164033698732, -0.08949989328350152, 0.4268937301252087, -0.3555221907166486, 0.018436222373456886, -0.08924879833185509]",11109.458371000046,1.7136937982762603,2.8577918343863695
Sturnella_magna,"[1.2680603932737715, -0.29439465500991413, -0.10071863591675259, -0.11799427696689026, 0.04703493667584707, -0.06143333574806403, -0.32859880342447656, 0.21456830675881244, -0.049083191377901805, 0.06303912105484974]",18082.198377230612,3.256362041644999,6.713114090193917
Setophaga_caerulescens,"[0.692559413820148, -0.15266936197897635, 0.1571083223622199, -0.018628875734501803, 0.015483575664105992, -0.005404347564928267, 0.2041030779651347, -0.11282550788611284, 0.015781047094335265, -0.1191343711894593]",9473.970233621461,1.2794947669435754,2.3832599686320246
